from_speaker,to_speaker,count
Part 4 Pastor Steven L. Shelley,Unknown Speaker,8
Pastor Ronnie Gengan,Ronnie Gengan,8
Pastor Steven L. Shelley,Steven L. Shelley,8
"Pastor Theo. Ovid, Headstone Tabernacle","Theo. Ovid, Headstone",8
"Pastor, Dr. Ernest Montoya",Ernest Montoya,8
Son of God,Son,8
Sunday morning,Unknown Speaker,8
Youth Service,Youth,8
"Asso. Pastor, Javier Villa","Asso., Javier Villa",7
Bro Isiah Brooks,Isiah brooks,7
Bro Jason Watkins,Jason Watkins,7
Bro Luis Aguilar,Luis Aguilar,7
Bro Tony Allen,Tony Allen,7
Bro. Aaron Nengomazha,Aaron Nengomazha,7
Bro. Chris Cathey,Chris Cathey,7
Bro. Darrell Ward,Darrell Ward,7
Bro. George Smith,George Smith,7
Bro. Joseph C. Garcia,Joseph C. Garcia,7
Bro. Obed Anaya,Obed Anaya,7
Brother Isiah Brooks,Isiah brooks,7
Chad Lamb The Seven Golden Candlesticks,Chad Lamb,7
Hno. Sergio Navarrete,Sergio Navarrete,7
Part 4,Unknown Speaker,7
Pastor Bernie G. Garcia,Bernie G. Garcia,7
Pastor Olu Omotoyinbo,Olu Omotoyinbo,7
Pastor Raymond Thompson,Raymond Thompson,7
Pr Busobozi Talemwa,Busobozi Talemwa,7
Saturday Evening,Saturday,7
- Unknown Speaker,Unknown Speaker,6
"Benjamin Seabolt He, the Spirit of Truth","Benjamin Seabolt, the Spirit of Truth",6
Bro Eleazar Ruiz,Eleazar Ruiz,6
Bro Feran,Feran,6
Bro John Alvarado,John Alvarado,6
Bro Steven McNeilly,Steven McNeilly,6
Bro. Antonio Lopez,Antonio Lopez,6
Bro. Booz Romero,Booz Romero,6
Bro. Brad Powell,Brad Powell,6
Bro. Burley Williams,Burley Williams,6
Bro. Byler,Byler,6
Bro. Byler Wed. Eve,Byler Wed,6
Bro. Isaac Adude,Isaac Adude,6
Bro. Jason DeMars,Jason DeMars,6
Bro. Marcos Santana Jr.,Marcos Santana Jr,6
Bro. Ron Spencer,Ron Spencer,6
Bro. Theo Ovid,Theo Ovid,6
"Bro. Theophilus Ovid, Headstone Tabernacle","Theophilus Ovid, Headstone",6
Bro. Warren Arquisola,Warren Arquisola,6
Chad Lamb Members of the Body,Chad Lamb,6
Chad Lamb The Seven Seals Opened the Entire Bible,Chad Lamb,6
Hno. Obed Anaya,Obed Anaya,6
Part 2),Unknown Speaker,6
Part 6 Pastor Steven L. Shelley,Unknown Speaker,6
Pastor Solomon Nachina,Solomon Nachina,6
Sister Belinda Evans,Belinda Evans,6
Sunday Evening,Unknown Speaker,6
Wednesday Evening Service,Unknown Speaker,6
Youth Choir,Youth,6
63-0317E The Breach Between The Seven Church Ages And The Seven Seals,Unknown Speaker,5
Asso. Pastor Javier Villa Jr.,Asso,5
Bro Andy Clifford,Andy Clifford,5
Bro David Nash,David Nash,5
Bro Kidri Diggs,Kidri Diggs,5
Bro Paul LaFontaine,Paul LaFontaine,5
"Bro Theo Ovid, Headstone Tabernacle","Theo Ovid, Headstone",5
Bro. Daniel Aguilera,Daniel Aguilera,5
Bro. Dennis McBride,Dennis McBride,5
Bro. Jerry Browning,Jerry Browning,5
Bro. Joaquin Lopez,Joaquin Lopez,5
Bro. Julio C. Munive,Julio C. Munive,5
Bro. Marcos Santana,Marcos Santana,5
Bro. Margil Arenas,Margil Arenas,5
Bro. Nathaniel Facio,Nathaniel Facio,5
Bro. Phillip Roncali,Phillip Roncali,5
Bro. Samuel Miles,Samuel Miles,5
Bro. Solomon Huffman,Solomon Huffman,5
Choir,Unknown Speaker,5
Fellowship Meeting,Unknown Speaker,5
Friday Evening,Friday,5
Monday Morning,Monday,5
Part 10 Pastor Steven L. Shelley,Unknown Speaker,5
Past. Isiah Brooks,Isiah brooks,5
Pastor Bernabe G Garcia,Bernabe G Garcia,5
Pastor Theo Ovid Headstone Tabernacle,Theo Ovid Headstone,5
Pastor Tim Pruitt at Evening Light,Tim Pruitt,5
Pstr Isiah Brooks,Isiah brooks,5
Sis. Helen,Helen,5
Sis. Rebekah Adams,Rebekah Adams,5
Sunday morning service,Unknown Speaker,5
Unknown Speaker,Guillermo Avila,5
Unknown Speaker,Gustavo Avila,5
6,Unknown Speaker,4
63-0322 The Fifth Seal,63-0322 The Fifth,4
7,Unknown Speaker,4
Associate Pastor Bro. Carlos E. Torres,Associate,4
"Associate Pastor, Carlos Torres","Associate, Carlos Torres",4
Baptismal Service,Baptismal,4
Br Tim Beers,Tim Beers,4
Bro Charles Hamilton III,Charles Hamilton,4
Bro Daniel White,Daniel White,4
Bro Joshua Chetty,Joshua Chetty,4
Bro Polycarpe Omambo,Polycarpe Omambo,4
Bro Seth Dogbey,Seth Dogbey,4
Bro. Aaron Oglesby at Evening Light Tabernacle,Aaron Oglesby,4
Bro. Albert Osuna,Albert Osuna,4
Bro. Barry Coffey,Barry Coffey,4
Bro. Chris Maritz,Chris Maritz,4
Bro. Craig Booher,Craig Booher,4
Bro. Danny Stemen,Danny Stemen,4
Bro. Eli Ortiz,Eli Ortiz,4
Bro. Ivan Yanez,Ivan Yanez,4
Bro. Jean Lumbala,Jean Lumbala,4
Bro. Jesse Alanis,Jesse Alanis,4
Bro. Jon Curlett,Jon Curlett,4
Bro. Josiah Cornett,Josiah Cornett,4
Bro. Keith Reid,Keith Reid,4
Bro. Markus Becker,Markus Becker,4
Bro. Matthew Nzembs,Matthew Nzembs,4
Bro. Richard Douglas,Richard Douglas,4
Bro. Seth Dogbey,Seth Dogbey,4
Bro. Stephanus K,Stephanus K,4
Bro. Tim Ashong,Tim Ashong,4
"Bro. Victor Chavez, Jr & Bro. Ivan Yanez","Victor Chavez, Jr, Ivan Yanez",4
"Bro. Victor Chavez, Jr. & Bro. Ivan Yanez","Victor Chavez, Jr, Ivan Yanez",4
"Bro. Victor I. Chavez, Jr.","Victor I. Chavez, Jr",4
Brother Allistair Francis,Allistair Francis,4
Brother John Simon,John Simon,4
Chad Lamb Do Not Fear His Voice,Chad Lamb,4
Chad Lamb From Faith to Love,Chad Lamb,4
Chad Lamb Holy Unto the Lord,Chad Lamb,4
Chad Lamb Light in the Darkness,Chad Lamb,4
Chad Lamb Placed Sons,Chad Lamb,4
Chad Lamb The Genes of His Word,Chad Lamb,4
Chad Lamb The Greatest Temptation,Chad Lamb,4
Chad Lamb The Lamb's Wife,Chad Lamb,4
Chad Lamb The Mysterious Book in an Earthen Vessel,Chad Lamb,4
Chad Lamb The Power in the Word,Chad Lamb,4
Evening Light Choir,Evening Light,4
Part 3),Unknown Speaker,4
Part 5 Pastor Steven L. Shelley,Unknown Speaker,4
Part 8 Pastor Steven L. Shelley,Unknown Speaker,4
Past Isaiah Brooks,Isiah brooks,4
Pastor Asociado Luis Aguilar,Asociado Luis Aguilar,4
Pastor Isiah Brooks [HGT],Isiah Brooks [HGT],4
"Pastor. Theo Ovid, Headstone Tabernacle","Theo Ovid, Headstone",4
Perfect Faith,Perfect,4
Prophet Branham,William M. Branham,4
Saturday Morning,Saturday,4
Sis. Jessica Adams,Jessica Adams,4
Subconscious Series,Subconscious,4
The Token,The,4
Unknown Speaker,Bernabé García,4
Unknown Speaker,Gamaliel Martinez,4
Walking With God,Unknown Speaker,4
Water Baptism,Water,4
Youth Bible Study Livestream,Youth,4
5,Unknown Speaker,3
60-1206 The Smyrnaean Church Age,Unknown Speaker,3
