date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2024-11-02,Success,Faith Hope & Charity -The Essence Of Love  Pst Adrian Gengan  27-10-24,A Three Dimensional Being,https://www.youtube.com/watch?v=v0aTE5MqY3o,2026-01-15,Unknown,Full Sermon,,0.0,Son Of Man Revealed Ministries,2026-01-15,available,
2024-10-30,Success,Joshua Chetty,Brother Joshua Chetty  23-10-2024,https://www.youtube.com/watch?v=F_xPZEKE1CU,2026-01-05,Unknown,Church Service,,64.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-10-30,Success,Japheth Chetty,Pressing till the breakthrough  Bro Japheth Chetty  17-10-2024,https://www.youtube.com/watch?v=G-bHxQfhYeo,2026-01-05,Unknown,Short Clip,,55.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-10-27,Success,The Holy Ghost Is Raising A Standard  Pastor Adrian Gengan  20-10-2024,Nissi,https://www.youtube.com/watch?v=aA2LYi1JlhM,2026-01-15,Unknown,Full Sermon,,0.0,Son Of Man Revealed Ministries,2026-01-15,available,
2024-10-20,Success,Adrian Gengan,The Glory Of The Bride Is Becoming More Radiant  Pastor Adrian Gengan  13-10-2024,https://www.youtube.com/watch?v=5YrR7BoYcwQ,2026-01-05,Unknown,Church Service,,74.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-02-10,Success,Joshua Chetty,Positionally placed to overcome  Bro Joshua Chetty  02-10-2024,https://www.youtube.com/watch?v=dGh4k1vzLrA,2026-01-05,Unknown,Short Clip,,58.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-09-10,No Transcript,Adrian Gengan,Faith that can be seen | Pastor Adrian Gengan | 09-10-2024,https://www.youtube.com/watch?v=n4h87O2kuCY,2026-01-05,Unknown,Short Clip,,40.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-09-29,Success,Adrian Gengan,The Seals Were Open For Sons To Come To Manifestation  22-09-2024  Pastor Adrian Gengan,https://www.youtube.com/watch?v=KlCYaKyTZSQ,2026-01-05,Unknown,Church Service,,81.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-09-26,Success,William M. Branham,The Faith Of A Heart Turned By The Prophet William Branham  18-02-2024  Pastor Adrian Gengan,https://www.youtube.com/watch?v=fMS8LKljVRY,2026-01-05,Unknown,Tape Service,,46.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-09-23,Success,Joshua Chetty,The Mouthpiece Of Painted Face Jezebel  Bro Joshua Chetty  15-09-2024,https://www.youtube.com/watch?v=SBnytEnlgEg,2026-01-05,Unknown,Church Service,,94.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-11-09,Success,Japheth Chetty,Spiritual Warfare; Instructions from the Captain of the Host Bro Japheth Chetty  11-09-2024,https://www.youtube.com/watch?v=FyJ-DDdCko0,2026-01-05,Unknown,Church Service,,76.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-08-09,Success,Adrian Gengan,The Philidelphia Corridor  Three War Goals  Pastor Adrian Gengan  08-09-2024,https://www.youtube.com/watch?v=X8NzXr_yOvI,2026-01-05,Unknown,Church Service,,77.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-01-09,Success,Adrian Gengan,Utterly Slay And Destroy The Enemy By Your Word Seed  Pastor Adrian Gengan  01092024,https://www.youtube.com/watch?v=CBlptGU0AnI,2026-01-05,Unknown,Church Service,,100.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-09-07,Success,Adrian Gengan,Strengthening Our Borders  Pastor Adrian Gengan  28-08-2024,https://www.youtube.com/watch?v=M07CC5M4yTE,2026-01-05,Unknown,Church Service,,66.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-04-09,Success,Adrian Gengan,The Mighty Angel Is Here In Our Time Of Trouble  Pastor Adrian Gengan  04-09-2024,https://www.youtube.com/watch?v=hA4UneA520A,2026-01-05,Unknown,Short Clip,,44.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-08-29,Success,Joshua Chetty,Enlarging Boundaries and Extending Spiritual Territories  Brother Joshua Chetty  21-08-2024 (PM),https://www.youtube.com/watch?v=MGGew7SLKUQ,2026-01-05,Unknown,Church Service,,71.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-08-25,Success,Adrian Gengan,Our Strategic Alliance with the Unseen world  Pst Adrian Gengan  25-08-2024,https://www.youtube.com/watch?v=jEt6WgkUeNI,2026-01-05,Unknown,Church Service,,94.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-08-25,Success,Enlarging Territories  Pastor Adrian Gengan  14-08-2024 (PM),The Opening of Spiritual Frontiers,https://www.youtube.com/watch?v=CFfQ2ldPiL8,2026-01-15,Unknown,Full Sermon,,0.0,Son Of Man Revealed Ministries,2026-01-15,available,
2024-08-25,Success,Adrian Gengan,The Opening Of Spiritual Frontiers  Pastor Adrian Gengan  18-08-2024,https://www.youtube.com/watch?v=2B5HLaNMF1M,2026-01-05,Unknown,Church Service,,81.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-11-08,Success,The Syllabus for Adoption  Pastor Adrian Gengan  11-08-2024,C.O.D,https://www.youtube.com/watch?v=B_zwJxwQWfU,2026-01-15,Unknown,Full Sermon,,0.0,Son Of Man Revealed Ministries,2026-01-15,available,
2024-04-08,Success,Joshua Chetty,Understanding The Purpose Of The Prophet & Seeing The Promise Coming To Pass  Bro Joshua Chetty,https://www.youtube.com/watch?v=qgZNlx2vYKs,2026-01-05,Unknown,Church Service,,78.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-08-06,Success,Adrian Gengan,God Still Has Anointed David's  Pastor Adrian Gengan  Wed PM 31-07-2024,https://www.youtube.com/watch?v=4vmOwuY2jWI,2026-01-05,Unknown,Church Service,,74.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-08-05,Success,Adrian Gengan,The Gates Of Heaven VS The Gates of Hell  Pastor Adrian Gengan  WED PM 24-07-2024,https://www.youtube.com/watch?v=vfGiU5lKjtQ,2026-01-05,Unknown,Church Service,,76.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-07-28,Success,Adrian Gengan,Scriptural Sign Regarding Trump's Ear  The Armour Of Adopted Sons  Pastor Adrian Gengan  21-07-24,https://www.youtube.com/watch?v=9BUxun1OhXQ,2026-01-05,Unknown,Church Service,,61.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-07-26,Success,Adrian Gengan,The Dangers of Remaining A Son  Growing Up From Being Born Again to Adoption  Pastor Adrian Gengan,https://www.youtube.com/watch?v=I_rLhVh8iyI,2026-01-05,Unknown,Church Service,,66.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-07-15,Success,Joshua Chetty,The Responsibility Of Being Positionally Placed  Bro Joshua Chetty  14-07-2024 Sun Am,https://www.youtube.com/watch?v=5SXMPYVuNts,2026-01-05,Unknown,Church Service,,79.0,Son Of Man Revealed Ministries,2026-01-05,available,
2024-07-07,Success,Adrian Gengan,Glimpses Of The god Man  Pastor Adrian Gengan  07-07-2024 Sun Am,https://www.youtube.com/watch?v=0_Aoyvo13dU,2026-01-05,Unknown,Church Service,,95.0,Son Of Man Revealed Ministries,2026-01-05,available,
