date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2024-04-25,Success,,Oracion Mundial 25-04-2024,https://www.youtube.com/watch?v=3Tc7RdssJSw,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-04-17,Success,Colombia,Oracion Mundial 17-04-2024,https://www.youtube.com/watch?v=3u0hApDzPHI,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-12-04,Success,Colombia,Oracion Mundial 12-04-2024,https://www.youtube.com/watch?v=U-Q5YDE6U10,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-11-04,Success,Colombia,Oracion Mundial 11-04-2024,https://www.youtube.com/watch?v=ssg6-7_LkJs,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-04-10,Success,"Colombia, Voz De",Oracion Mundial del Medio dia 10-04-05,https://www.youtube.com/watch?v=TDyAE77o_a4,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-09-04,Success,Yhon Fredy Pino,Oracion Mundial 09-04-2024,https://www.youtube.com/watch?v=myhYKlzWwQ4,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-03-14,Success,"Colombia, Oracion Mundial",ORACION MUNDIAL 14032024,https://www.youtube.com/watch?v=4MYSmjAZu5w,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-03-14,Success,Colombia,DESERTAR CON CRISTO 14032024,https://www.youtube.com/watch?v=VmzB0T98hCU,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-05-03,Success,"Colombia, Oracion Mundial",ORACION MUNDIAL 05032024,https://www.youtube.com/watch?v=4yFWjV9k94k,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-02-16,Success,"Colombia, Oracion Mundial",ORACION MUNDIAL 16022024,https://www.youtube.com/watch?v=NxUXg3tQdEE,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-02-15,Success,"Colombia, Oracion Mundial",ORACION MUNDIAL,https://www.youtube.com/watch?v=ASEF7C0TGKQ,2026-01-14,Spanish,Short Clip,ORACION MUNDIAL   #envívo  desde #pamplona #colombia,18,Radio La Voz Del Tiempo Final,2026-01-14,available,
2024-02-13,Success,Colombia,Oracion Mundial 13022024,https://www.youtube.com/watch?v=Yg54Lqd03r0,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-02-04,Success,,CONFRATENIDAD CRISTIANA DE FREBRERO SERVICIO 3,https://www.youtube.com/watch?v=CV04XD4wLfI,2026-01-14,Spanish,Church Service,CONFRATERNIDAD CRISTIANA DE  FEBRERO SERVICIO 3,89,Radio La Voz Del Tiempo Final,2026-01-14,available,
2024-02-04,Success,,CONFRATENIDAD CRISTIANA DE FREBRERO SERVICIO 3,https://www.youtube.com/watch?v=48-6ivEOx8k,2026-01-14,Spanish,Church Service,CONFRATERNIDAD CRISTIANA DE  FEBRERO SERVICIO 3,89,Radio La Voz Del Tiempo Final,2026-01-14,available,
2024-02-03,Success,,CONFRATENIDAD CRISTIANA DE FREBRERO SERVICIO 2,https://www.youtube.com/watch?v=jW60WP8tOuo,2026-01-14,Spanish,Church Service,CONFRATERNIDAD CRISTIANA DE  FEBRERO SERVICIO 2,237,Radio La Voz Del Tiempo Final,2026-01-14,available,
2024-01-24,Success,,Oracion Mundial 24012024,https://www.youtube.com/watch?v=lruhiKNT7rs,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2024-01-19,Success,Unknown Speaker,Oracion Mundial 18012024,https://www.youtube.com/watch?v=NBJSJtW7qmU,2026-01-27,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-27,available,
2024-01-16,Success,Unknown Speaker,ORACON MUNDIAL 16012024,https://www.youtube.com/watch?v=-5dYwy2mjE8,2026-01-27,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-27,available,
2024-10-01,Success,,Oracion Mundial 10012024,https://www.youtube.com/watch?v=AjYE-QewcDk,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2023-12-28,Success,,Oracion mundial 28122023,https://www.youtube.com/watch?v=wwQBf80KGTc,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2023-12-19,Success,Unknown Speaker,Oracion mundial,https://www.youtube.com/watch?v=Q3rsFxkF5RI,2026-01-27,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-27,available,
2023-08-12,Success,Alberson Clavijo,Oracion mundial 08122023,https://www.youtube.com/watch?v=3wsDzr2avgc,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
2023-08-12,Success,,Oracion mundial 08122023,https://www.youtube.com/watch?v=Ski5kavBKTA,2026-01-15,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-15,available,
