date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2020-01-25,Success,Troy Svejda,(1-25-20) Saturday Evening Service,https://www.youtube.com/watch?v=DpzVj5wRHCM,2026-01-10,Unknown,Church Service,,102.0,Bride of Christ Fellowship,2026-01-10,available,
2020-01-21,Success,Jesse Smith,"(1-21-20) Prove All Things, Pt. 6",https://www.youtube.com/watch?v=R865e6Pi5dc,2026-01-10,Unknown,Church Service,,104.0,Bride of Christ Fellowship,2026-01-10,available,
2020-01-19,Success,Jesse Smith,"(1-19-20) Prove All Things, Pt. 5",https://www.youtube.com/watch?v=ErPL-J1HctQ,2026-01-10,Unknown,Church Service,,128.0,Bride of Christ Fellowship,2026-01-10,available,
2020-01-15,Success,Jesse Smith,"(1-15-20) Prove All Things, Pt. 4",https://www.youtube.com/watch?v=UrdaRMGjqd0,2026-01-10,Unknown,Church Service,,115.0,Bride of Christ Fellowship,2026-01-10,available,
2020-01-12,Success,Jesse Smith,"(1-12-20) Prove All Things, Pt. 3",https://www.youtube.com/watch?v=j0XEi5aCTZQ,2026-01-10,Unknown,Church Service,,129.0,Bride of Christ Fellowship,2026-01-10,available,
2019-12-29,Success,Jesse Smith,"(12-29-19) Soul Thirst, Pt. 3",https://www.youtube.com/watch?v=zkmQ2T8xyCE,2026-01-10,Unknown,Church Service,,131.0,Bride of Christ Fellowship,2026-01-10,available,
2019-12-25,Success,Jesse Smith,(12-25-19) Purpose Pt. 32,https://www.youtube.com/watch?v=AzOFT9XBUuM,2026-01-10,Unknown,Church Service,,101.0,Bride of Christ Fellowship,2026-01-10,available,
2019-12-22,Success,Ben Norrod,(12-22-19AM) Sunday Morning Worship,https://www.youtube.com/watch?v=KJtkSnPGXBU,2026-01-10,Unknown,Church Service,,138.0,Bride of Christ Fellowship,2026-01-10,available,
2019-12-18,Success,Jesse Smith,"(12-18-19) Revelation Chapter 22, Pt. 2 [Series Pt 109]",https://www.youtube.com/watch?v=TK5Xy0doP8I,2026-01-10,Unknown,Church Service,,122.0,Bride of Christ Fellowship,2026-01-10,available,
2019-12-15,Success,Simon Smith,(12-15-19) Sunday Morning Worship,https://www.youtube.com/watch?v=D7NsCPru9Lo,2026-01-10,Unknown,Church Service,,129.0,Bride of Christ Fellowship,2026-01-10,available,
2019-12-11,Success,Jesse Smith,(12-11-19) Revelation Chapter 22 [Series Pt. 108],https://www.youtube.com/watch?v=c1mEz4oUf38,2026-01-10,Unknown,Church Service,,122.0,Bride of Christ Fellowship,2026-01-10,available,
2019-12-08,Success,Jesse Smith,(12-8-19) Revelation 21 [Series Pt. 107],https://www.youtube.com/watch?v=oH-sqKfsFa4,2026-01-10,Unknown,Church Service,,126.0,Bride of Christ Fellowship,2026-01-10,available,
2019-12-04,Success,Jesse Smith,"(12-4-19) Revelation Ch. 20, Pt. 3 [Series Pt. 106]",https://www.youtube.com/watch?v=sTmFBGp5Md8,2026-01-10,Unknown,Church Service,,114.0,Bride of Christ Fellowship,2026-01-10,available,
2019-11-27,Success,Jesse Smith,(11-27-19) Identified With America's Founding Fathers,https://www.youtube.com/watch?v=tWRTOt4fE9g,2026-01-10,Unknown,Church Service,,115.0,Bride of Christ Fellowship,2026-01-10,available,
2019-11-24,Success,Unknown Speaker,(11-24-19PM) Song Special and Testimony Service,https://www.youtube.com/watch?v=VswwV79FNF8,2026-01-04,Unknown,Testimonies,,13.0,Bride of Christ Fellowship,2026-01-04,available,
2019-11-24,Success,Jesse Smith,(11-24-19AM) Identified With The Pilgrims,https://www.youtube.com/watch?v=eaTzkBnT3Dg,2026-01-10,Unknown,Church Service,,132.0,Bride of Christ Fellowship,2026-01-10,available,
2019-11-17,Success,Jesse Smith,(11-17-19PM) Understanding the Soul,https://www.youtube.com/watch?v=sK69SkH-73s,2026-01-10,Unknown,Church Service,,100.0,Bride of Christ Fellowship,2026-01-10,available,
2019-11-17,Success,Jesse Smith,(11-17-19AM) How Can I Overcome Pt. 4,https://www.youtube.com/watch?v=KncuJThC5Wk,2026-01-10,Unknown,Church Service,,129.0,Bride of Christ Fellowship,2026-01-10,available,
