date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2020-07-12,Success,Unknown Speaker,El Testimonio que hemos oído HD,https://www.youtube.com/watch?v=slP1EMKUi2E,2026-01-04,Spanish,Testimonies,,60.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-07-12,Success,Unknown Speaker,El testimonio que hemos oído primera parte,https://www.youtube.com/watch?v=BwWSKNwrLXQ,2026-01-04,Unknown,Testimonies,,60.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-07-08,Success,Unknown Speaker,"Entrevista  hecha por Tabernaculo  hebreos, Guadalajara México",https://www.youtube.com/watch?v=0CrA1lNMZEI,2026-01-04,Spanish,Church Service,Preguntas y Respuestas 5 de julio 2020,91.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-07-05,Success,Unknown Speaker,Somos linaje de Dios parte 2 pastor juan Espinoza  Barcelona  Venezuela,https://www.youtube.com/watch?v=ONsMVX9KJEc,2026-01-04,Spanish,Church Service,,62.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-06-28,Success,Unknown Speaker,Perfeccionandonos  en el propósito de Dios como Familia. II parte,https://www.youtube.com/watch?v=BePXq8DW6HU,2026-01-04,Spanish,Church Service,28 de junio 2020 Juan Espinoza  juancho,80.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-06-25,Success,Marcial Arce,"Programa 24 de junio Hermano Marcial Arce y Familia,Ypane, Paraguay",https://www.youtube.com/watch?v=O_pHMgnx0i4,2026-01-04,Spanish,Church Service,,92.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-06-24,Success,German Artunduaga,Programa  con Hermano German Artunduaga y josue Torres.,https://www.youtube.com/watch?v=v2U3OxvNcNI,2026-01-04,Spanish,Church Service,23 de junio de 2020. Evangelismo para el Rapto,131.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-06-19,Success,Unknown Speaker,"Entrevista al pastor José Oller Iglesia de Bayamon,cada del pan de Dios Puerto Rico.",https://www.youtube.com/watch?v=vjLoDk7k-i0,2026-01-15,Unknown,Full Sermon,,0.0,Evangelismo Para El Rapto,2026-01-15,available,
2020-06-17,Success,Unknown Speaker,Perfeccionandonos en el propósito de Dios como familia,https://www.youtube.com/watch?v=t6r0XeoLzfs,2026-01-10,Unknown,Short Clip,,55.0,Evangelismo Para El Rapto,2026-01-10,available,
2020-06-15,Success,Unknown Speaker,Entretiempo juvenil.. marrion Espinoza,https://www.youtube.com/watch?v=9Gl-IwifYpw,2026-01-04,Spanish,Church Service,,98.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-06-14,Success,Unknown Speaker,Evangelismo para el Rapto Entrevista  a hermano Abel quipallan.,https://www.youtube.com/watch?v=nHKqjnD-GEI,2026-01-14,Unknown,Full Sermon,,,Evangelismo Para El Rapto,2026-01-14,available,
2020-06-12,Success,Unknown Speaker,Guiados por el Espíritu de Dios 10 de junio 2020,https://www.youtube.com/watch?v=4jJqNyPCpxE,2026-01-04,Unknown,Short Clip,,59.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-06-12,Success,Danny Torres,Entrevista a hno Darrel ward. 11 de junio 2020,https://www.youtube.com/watch?v=p3lYR33JHv0,2026-01-04,Spanish,Church Service,"Evangelista en Johnson city Tennessee, happyvalleychurch.com Hno Danny Torres  interprete  Hno Harry Reagan, cantante  Hno Brad younce, soundman",61.0,Evangelismo Para El Rapto,2026-01-04,available,
2020-06-10,Success,Gabriel Mendoza,Entrevista hermano Gabriel Mendoza y familia,https://www.youtube.com/watch?v=dD1Po5RuhJo,2026-01-04,Spanish,Church Service,"Pastor ""Tabernaculo Elohim"" Caracas Venezuela. 9 de Junio  de 2020",100.0,Evangelismo Para El Rapto,2026-01-04,available,
