date,status,speaker,title,url,last_checked,language,type
2022-08-07,Success,Stuart Duckworth,Bro. Stuart Duckworth,https://www.youtube.com/watch?v=lmvoJBnw1Zg,2025-12-28,Unknown,Full Sermon
2021-03-07,Success,Unknown Speaker,Idols of Imagination,https://www.youtube.com/watch?v=q7DHycuLNnU,2025-12-28,Unknown,Full Sermon
2023-01-30,Success,Cosmin Stefan,Bro. Cosmin Stefan,https://www.youtube.com/watch?v=kMPEGkHKkjM,2025-12-28,Unknown,Full Sermon
2023-09-07,Success,Unknown Speaker,The Second Seal,https://www.youtube.com/watch?v=OnQ2MdYI7GE,2025-12-28,Unknown,Full Sermon
2025-02-13,Success,Unknown Speaker,Our Allotment in the Promise Part 4 “Judah”,https://www.youtube.com/watch?v=_2Aj7vCEwzo,2025-12-28,Unknown,Full Sermon
2024-01-07,Success,Unknown Speaker,The Mystery of the Suffering Servant,https://www.youtube.com/watch?v=zgFP8Habqfw,2025-12-28,Unknown,Full Sermon
2022-11-20,Success,Unknown Speaker,He Kept His Word,https://www.youtube.com/watch?v=xU0L4LwpAqY,2025-12-28,Unknown,Full Sermon
2022-09-29,Success,Unknown Speaker,Quickening Power Part 2 We Must Get Them to Christ,https://www.youtube.com/watch?v=0zaq7Lg_oCs,2025-12-28,Unknown,Full Sermon
2020-08-18,Success,Unknown Speaker,Corinthians Study Pt. 7,https://www.youtube.com/watch?v=M_ZEJO7ID7o,2025-12-28,Unknown,Full Sermon
2023-11-16,Success,Unknown Speaker,The Seventh Seal Part 3 Seven Thunders,https://www.youtube.com/watch?v=JVcW358Xd24,2025-12-28,Unknown,Full Sermon
2023-10-29,Success,George Moore,Bro. George Moore,https://www.youtube.com/watch?v=7Zcj_OOjBS4,2025-12-28,Unknown,Full Sermon
2022-07-25,Success,Unknown Speaker,Through the Fire,https://www.youtube.com/watch?v=yOrq316CLoA,2025-12-28,Unknown,Song / Worship
2024-06-09,Success,Ben Pruitt,"The Current Condition of the Husk and the Seed, Pastor Ben Pruitt on 692024SM",https://www.youtube.com/watch?v=UaUpgK0ixmY,2025-12-28,Unknown,Full Sermon
2025-06-22,Success,Unknown Speaker,Joy in His Presence,https://www.youtube.com/watch?v=jXNwZn384w0,2025-12-28,Unknown,Full Sermon
2023-08-20,Success,Unknown Speaker,The Right Attitude and Approach Part 2,https://www.youtube.com/watch?v=ClMR6LCYzEs,2025-12-28,Unknown,Full Sermon
2024-12-29,Success,Unknown Speaker,Light in the Darkness,https://www.youtube.com/watch?v=LuLoAkJPgNk,2025-12-28,Unknown,Full Sermon
2022-07-25,Success,Unknown Speaker,Least I Can Do,https://www.youtube.com/watch?v=S1nGFs868g4,2025-12-28,Unknown,Song / Worship
2022-11-03,Success,Unknown Speaker,Quickening Power Part 5 ''The Wave Sheaf'',https://www.youtube.com/watch?v=DPimeEDVDE4,2025-12-28,Unknown,Full Sermon
2022-02-14,Success,Unknown Speaker,You Can’t Wash Jesus Feet Alone,https://www.youtube.com/watch?v=_ewbZ3p96Dw,2025-12-28,Unknown,Full Sermon
2025-03-02,Success,Wendall Martin,Bro. Wendall Martin  The Press Sunday Morning 3-2-25,https://www.youtube.com/watch?v=K_mIz-RT_q4,2025-12-28,Unknown,Full Sermon
2025-09-28,Success,Stuart Duckworth,The Purpose of God Fulfilled Pt. 2 Bro. Stuart Duckworth 92825 Sunday Morning,https://www.youtube.com/watch?v=tQN45ellbIQ,2025-12-28,Unknown,Full Sermon
2024-11-24,Success,Andrew Glover,Bro Andrew Glover 112424 Sunday Morning,https://www.youtube.com/watch?v=Dd1KxtbkHVE,2025-12-28,Unknown,Full Sermon
2020-09-13,Success,Unknown Speaker,What is God Doing Today,https://www.youtube.com/watch?v=zKpn3NiODxo,2025-12-28,Unknown,Full Sermon
2022-04-29,Success,Unknown Speaker,Is Fellowship Wrong,https://www.youtube.com/watch?v=cooiLfS0XLU,2025-12-28,Unknown,Full Sermon
2022-07-19,Success,Unknown Speaker,God is Gonna Finish Just What He Started,https://www.youtube.com/watch?v=v5Q2e7sSlus,2025-12-28,Unknown,Full Sermon
2025-09-07,Success,Ben Pruitt,Building the Temple Part 7 Aaron's Rod Pastor Ben Pruitt 9725,https://www.youtube.com/watch?v=b3_qQLTeM3I,2025-12-28,Unknown,Song / Worship
2022-03-30,Success,Unknown Speaker,Breaking the Family Curse Part 1,https://www.youtube.com/watch?v=4oxL9qaocAk,2025-12-28,Unknown,Full Sermon
2024-09-05,Success,Ben Pruitt,The Sting of Death,https://www.youtube.com/watch?v=MpdRaZKBXYQ,2025-12-28,Unknown,Full Sermon
2024-06-20,Success,Ben Pruitt,Christ is the Mystery of  God Revealed Part 11 “His Church is Himself Revealed” Bro. Ben Pruitt,https://www.youtube.com/watch?v=rP6yTTthdd0,2025-12-28,Unknown,Full Sermon
2021-06-06,Success,Joe Adams,Bro. Joe Adams,https://www.youtube.com/watch?v=E35Mb48V7Rk,2025-12-28,Unknown,Full Sermon
2022-08-15,Success,Alan Price,Bro. Alan Price,https://www.youtube.com/watch?v=S_ZbubFB6qU,2025-12-28,Unknown,Full Sermon
2024-03-03,Success,Stuart Duckworth,Bro Stuart Duckworth 3324  Sunday Evening,https://www.youtube.com/watch?v=0Z_r1xemJsw,2025-12-28,Unknown,Full Sermon
2022-05-04,Success,Unknown Speaker,Breaking the family Curse Part 6 Let My People Eat,https://www.youtube.com/watch?v=AblrWSZwhQ4,2025-12-28,Unknown,Full Sermon
2025-07-28,Success,Ben Pruitt,Building The Temple Part 1 Preparation Pastor Ben Pruitt 7-27-25,https://www.youtube.com/watch?v=2xGc_gxW7Is,2025-12-28,Unknown,Full Sermon
2022-07-17,Success,Wendall Martin,Bro. Wendall Martin,https://www.youtube.com/watch?v=FxNZRZ8e_Es,2025-12-28,Unknown,Full Sermon
2020-08-04,Success,Unknown Speaker,Corinthians Study Part 6,https://www.youtube.com/watch?v=h2NGn1T7UlA,2025-12-28,Unknown,Full Sermon
2022-07-25,Success,Unknown Speaker,Devil We're Through,https://www.youtube.com/watch?v=H1CuVJHtR5Q,2025-12-28,Unknown,Song / Worship
2022-07-16,Success,Unknown Speaker,Just Find Jesus,https://www.youtube.com/watch?v=k2GRnnlIt7s,2025-12-28,Unknown,Song / Worship
2021-01-21,Success,Unknown Speaker,What do You Want,https://www.youtube.com/watch?v=mVKpOt-Jluc,2025-12-28,Unknown,Full Sermon
2023-10-16,Success,Joel Pruitt,You're Not In This Alone Bro. Joel Pruitt,https://www.youtube.com/watch?v=uwUONaFaUEI,2025-12-28,Unknown,Full Sermon
2021-05-14,Success,Unknown Speaker,Bro.Andrew Glover,https://www.youtube.com/watch?v=ATygaZ4vdcA,2025-12-28,Unknown,Full Sermon
2022-01-25,Success,Unknown Speaker,The Breach Part 24 A Cowboys Meditation,https://www.youtube.com/watch?v=Z-uRKLNTH9U,2025-12-28,Unknown,Full Sermon
2024-08-01,Success,Unknown Speaker,The Mainspring Pastor Ben Pruitt Wednesday Night 73124,https://www.youtube.com/watch?v=akeiV0qUaYc,2025-12-28,Unknown,Full Sermon
2022-07-28,Success,Unknown Speaker,Had It Not Been,https://www.youtube.com/watch?v=QtZlYZgIrlw,2025-12-28,Unknown,Song / Worship
2024-10-31,Success,Joel Pruitt,"Gold Tried in the Fire Bro. Joel Pruitt, Wednesday Night",https://www.youtube.com/watch?v=5PLrBjuOERM,2025-12-28,Unknown,Full Sermon
2024-12-12,Success,Ben Pruitt,"Joseph, the (Almost) Perfect Man Part 6 “Little Benjamin and the Bride” Pastor Ben Pruitt 1211",https://www.youtube.com/watch?v=MgEwNanXWrg,2025-12-28,Unknown,Full Sermon
2025-04-20,Success,Unknown Speaker,Quickening Power in the Body Easter Service Benjamin Pruitt 4202025,https://www.youtube.com/watch?v=je7WRHbpOdk,2025-12-28,Unknown,Full Sermon
2025-09-21,Success,Unknown Speaker,Every Time He Comes 9-21-25 Pastor Ben Pruitt Sunday Morning,https://www.youtube.com/watch?v=ECD2HfU5AoU,2025-12-28,Unknown,Full Sermon
2023-09-21,Success,Unknown Speaker,The Fourth Seal,https://www.youtube.com/watch?v=NT38GbJXUQ0,2025-12-28,Unknown,Full Sermon
2024-08-22,Success,Ben Pruitt 82124,"Case Dismissed, With Prejudice",https://www.youtube.com/watch?v=_nk-0xTVYwg,2025-12-28,Unknown,Full Sermon
2020-11-29,Success,Unknown Speaker,Shadow Of His Wings,https://www.youtube.com/watch?v=TRep3s0cdpw,2025-12-28,Unknown,Full Sermon
2024-04-21,Success,Unknown Speaker,Pursuing Peace in the Home,https://www.youtube.com/watch?v=ZhIz99fhbPo,2025-12-28,Unknown,Full Sermon
2025-09-14,Success,Unknown Speaker,Revive Us Again That The People May Rejoice Bro Joel Pruitt Sunday Morning 9142025,https://www.youtube.com/watch?v=d7Brvs9xGi8,2025-12-28,Unknown,Full Sermon
2025-07-06,Success,Unknown Speaker,Our God is in the Heavens,https://www.youtube.com/watch?v=xrtS2kqxZ8k,2025-12-28,Unknown,Full Sermon
2022-07-28,Success,Unknown Speaker,She Possesses All Things,https://www.youtube.com/watch?v=wUa1scTjElQ,2025-12-28,Unknown,Full Sermon
